 ,2008 ($B),2009 ($B),2010 ($B),2011 ($B),2012 ($B),2013 ($B),2014 ($B),2015 ($B),Compound Growth Rate 2008-2015
            Personal consumption expenditures,10013.6,9847,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7,0.029620058
Household consumption expenditures 1,9731.5,9571,9926.8,10414.3,10757.8,11056.3,11549.8,11955.8,0.029843578
    Food and beverages purchased for off-premises consumption,772.9,770,788.9,829.1,848.8,857.5,891.4,900.7,0.022101055
        Food and nonalcoholic beverages purchased for off-premises consumption,667.7,663.4,675.9,711.7,726.3,733.7,762.9,766.8,0.019966289
        Alcoholic beverages purchased for off-premises consumption,104.7,106.1,112.6,117,122.1,123.3,127.9,133.3,0.035102488
        Food produced and consumed on farms,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.059634023
"    Clothing, footwear, and related services",335.4,321.6,335.8,354.6,370.1,380,387.8,396.8,0.024306198
        Clothing,274.2,263.1,274.3,289.3,301.2,308.1,314.3,321.8,0.023130961
            Garments,254.7,244.3,255.3,269.9,281.5,287.9,293.4,300.2,0.023758196
                Women's and girls' clothing,152.1,145.8,152.8,161.6,169.2,172.6,175.8,180.2,0.024514098
                Men's and boys' clothing,84.7,81.5,84.9,89.7,93.4,96.3,98.4,100.5,0.02473556
                Children's and infants' clothing,17.9,17.1,17.7,18.5,18.9,19,19.2,19.5,0.012305635
            Other clothing materials,4.1,4.1,4.2,4.2,4.3,4.4,4.4,4.8,0.022773874
"            Cleaning, repair, and rental of clothing",15.4,14.7,14.8,15.2,15.3,15.8,16.4,16.7,0.011644592
                Laundry and dry cleaning services,11.3,10.9,11,11.2,11.3,11.6,12.1,12.2,0.011007748
"                Clothing repair, rental, and alterations",4.1,3.8,3.8,3.9,4,4.2,4.3,4.5,0.013387452
        Footwear 2,61.2,58.5,61.5,65.3,68.9,71.9,73.5,75,0.029474732
"    Housing, utilities, and fuels",1869.9,1905.3,1935.1,1989,2021.8,2080.8,2170.6,2253.9,0.027041606
        Housing,1543.7,1591.6,1609.7,1660.2,1704.7,1749.1,1823.9,1919.9,0.031646276
            Rental of tenant-occupied nonfarm housing 3,336.4,359.7,372.6,402.1,417.7,424.5,451.6,488,0.05458247
            Imputed rental of owner-occupied nonfarm housing 4,1185.5,1209.9,1214.5,1234.1,1265.5,1303.7,1352.2,1410.9,0.025177909
            Rental value of farm dwellings,20.5,20.7,21.2,22.4,19.8,19.1,18.2,19.1,-0.010054335
            Group housing,1.3,1.3,1.3,1.5,1.7,1.8,1.9,1.8,0.047586466
        Household utilities and fuels,326.2,313.7,325.5,328.9,317.1,331.7,346.7,334,0.003381462
            Water supply and sanitation,71.9,74.3,78,80.9,83.1,85.4,86.8,88,0.029286448
"            Electricity, gas, and other fuels",254.3,239.4,247.5,248,233.9,246.3,259.9,246,-0.00472923
                Electricity,155.4,157,166.8,166.7,163.3,169.1,176.2,177.4,0.019094968
                Natural gas,68.1,58.1,54.6,52.1,44.3,50.6,55.9,48,-0.048740163
                Fuel oil and other fuels,30.8,24.3,26.2,29.2,26.4,26.6,27.8,20.7,-0.055187433
"    Furnishings, household equipment, and routine household maintenance",442,409.8,417.3,435.2,452.4,468.6,488,506.3,0.019592243
"        Furniture, furnishings, and floor coverings 5",148.8,134.1,137.5,142.7,148.7,153.6,159.9,168.1,0.017574927
        Household textiles,45.4,42.2,43.8,46,47.7,49.7,51.4,53.3,0.023182376
        Household appliances 6,49.9,45.6,46.3,47.8,49.5,51.2,52.4,53.8,0.010808345
"        Glassware, tableware, and household utensils 7",43.7,41.1,42.7,45.1,47.2,49.2,51,53.3,0.028776001
        Tools and equipment for house and garden,19.3,17.5,17.6,18.5,19.2,20.1,21.1,22,0.018881378
        Other household goods and services 8,134.9,129.4,129.5,135.2,140.1,144.7,152.1,155.8,0.02079022
    Health,1914.2,2000.9,2080.4,2176.9,2266.2,2323,2446.5,2602.4,0.044853131
"        Medical products, appliances, and equipment",357.7,373.5,389.7,412.2,430.4,452.1,493.6,533.4,0.058743072
